# Data Set (v1): ML-CUP17-TS
# Nov 2017
# ML-CUP17
# INFO: micheli@di.unipi.it
# (C) CIML group - Gallicchio, Micheli 2017
# 
# Format:
# Training set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
# Blind Test set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10

1,-0.214007,1.101217,0.223388,-1.616904,-1.462155,-1.348691,0.539240,2.086960,-1.102281,-1.807250
2,-0.305682,-1.432201,-0.490503,1.350826,1.284933,1.196267,-0.024151,-0.602132,0.392568,1.499716
3,-1.314102,-1.375903,-1.144902,1.477112,1.404372,-0.500372,-1.010085,-0.716562,1.648241,0.535184
4,1.436135,0.538235,1.056260,-0.543470,-1.402435,-0.217599,1.525173,0.656592,-0.803311,-0.291557
5,1.161111,0.650831,0.996769,-0.290897,-0.685804,-1.348691,1.454750,0.542163,-1.341457,-0.360453
6,-0.580706,1.776795,0.639824,-0.922329,-1.044120,-2.008496,0.257544,1.514813,-1.341457,-1.118299
7,1.344460,0.144148,0.996769,0.277392,-0.028891,1.196267,1.173054,0.542163,-0.384753,1.293030
8,-0.397357,-0.362536,-0.312030,1.098253,0.508582,0.724979,-0.376270,-0.602132,0.691538,1.361925
9,-0.672380,-0.475132,-0.966430,0.845680,0.209986,0.065175,-0.094575,-1.002635,0.452362,0.190708
10,0.886087,0.594533,1.175242,-0.669756,-1.462155,-0.123341,1.736445,0.542163,-1.221869,-1.807250
11,-0.030658,-1.150710,-1.620829,1.287683,1.404372,0.630721,-0.446694,-1.288709,0.571950,0.397394
12,-0.030658,-1.150710,-1.323375,1.224540,1.046056,-0.406114,-0.517118,-0.773776,1.409065,1.017450
13,-0.122333,1.382708,1.175242,-1.680048,-1.103839,-0.688887,0.609663,0.885451,-1.281663,-1.462774
14,0.244365,-0.587729,-0.193048,0.340535,0.866898,1.573298,-0.164999,-0.659347,0.930714,1.775296
15,1.619484,0.650831,0.461352,0.087962,0.389144,1.196267,0.046273,0.198874,0.332774,0.741869
16,-0.489031,-1.207009,-1.561339,1.035110,1.284933,-0.217599,-0.869237,-1.174280,0.930714,0.672974
17,2.352881,0.538235,0.996769,-0.417184,-0.327488,-0.217599,1.454750,-0.201629,-0.863105,-0.842718
18,-1.130753,-0.700325,-1.620829,0.593108,1.284933,0.630721,-1.855171,-0.830991,0.990508,0.810764
19,1.161111,0.707129,1.115751,-0.922329,-1.103839,-0.311856,1.525173,0.771022,-1.341457,-0.911613
20,1.986182,0.087849,0.996769,0.277392,0.389144,0.442206,0.257544,-0.144414,0.272980,0.672974
21,-0.672380,-1.094412,-1.263884,1.098253,1.404372,-0.311856,-1.855171,-1.403138,1.050302,0.672974
22,0.427715,1.044918,1.413206,-0.922329,-1.521874,-1.537207,0.539240,0.370518,-0.922899,-1.049404
23,-0.305682,-1.038114,-0.966430,-0.669756,0.807179,0.536463,-0.869237,-0.830991,1.349271,0.397394
